Club,Wins,Draws,Losses,Points,GF,GA,Shots
Liverpool,9,1,1,28,21,6,155
Man.City,7,2,2,23,22,13,212
Chelsea,5,4,2,19,21,13,154
Arsenal,5,4,2,19,18,12,152
Nottm.Forest,5,4,2,19,15,10,157
Brighton,5,4,2,19,19,15,159
Fulham,5,3,3,18,16,13,172
Newcastle,5,3,3,18,13,11,139
Aston.Villa,5,3,3,18,17,17,136
Tottenham,5,1,5,16,23,13,189
Brentford,5,1,5,16,22,22,123
Bournemouth,4,3,4,15,15,15,167
Man.United,4,3,4,15,12,12,154
West.Ham,3,3,5,12,13,19,148
Leicester.City,2,4,5,10,14,21,113
Everton,2,4,5,10,10,17,131
Ipswich.Town,1,5,5,8,12,22,108
Crystal.Palace,1,4,6,7,8,15,158
Wolves,1,3,7,6,16,27,113
Southampton,1,1,9,4,7,21,113
